split,smiles,scaffold
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)[nH]n1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
train,Cc1cc(Nc2nn(-c3ccccc3)c(=O)c3ccccc23)n[nH]1,CC1C(C2CCCCC2)CC(CC2CCCC2)C2CCCCC12
